year,crnt_rcpts,source:crnt_tx_rcpts,source:ctrbtns_govt_soc_ins,source:inc_rcpts_asts,source:crnt_trnsfr_rcpts,source:crnt_srpls_govt_entrprs
2000,30.62,21.28,6.92,1.42,0.89,0.11
2001,29.53,20.23,6.96,1.35,0.92,0.05
2002,27.14,18.08,6.91,1.14,0.94,0.07
2003,26.58,17.70,6.84,1.05,0.96,0.04
2004,26.82,18.02,6.83,0.99,0.98,0.00
2005,28.22,19.49,6.73,1.06,0.97,-0.03
2006,29.05,20.22,6.71,1.20,0.97,-0.05
2007,29.14,20.27,6.68,1.30,0.98,-0.10
2008,28.04,19.19,6.75,1.17,1.04,-0.12
2009,25.58,16.54,6.71,1.28,1.17,-0.11
2010,26.24,17.21,6.59,1.45,1.12,-0.13
2011,26.58,18.30,5.93,1.37,1.10,-0.12
2012,26.62,18.45,5.90,1.38,1.00,-0.10
2013,28.80,19.28,6.61,1.94,1.07,-0.09
2014,28.86,19.65,6.61,1.46,1.19,-0.06
2015,28.99,19.84,6.64,1.34,1.20,-0.03
2016,28.55,19.58,6.66,1.19,1.13,-0.01
2017,28.14,19.22,6.69,1.14,1.12,-0.03
2018,26.89,18.17,6.67,1.02,1.09,-0.06
