year,unit:passenger-kilometers|passenger-mode:highway,unit:passenger-kilometers|passenger-mode:air,unit:passenger-kilometers|passenger-mode:transit,unit:passenger-kilometers|passenger-mode:rail,unit:freight-tonnage|freight-mode:truck,unit:freight-tonnage|freight-mode:pipeline,unit:freight-tonnage|freight-mode:rail,unit:freight-tonnage|freight-mode:vessel,unit:freight-tonnage|freight-mode:air
2000,7323440,829775,72582,8848,,,,,
2001,7385358,782956,74847,8946,,,,,
2002,7547724,778157,74184,8800,10021.32,2329.03,1843.13,615.91,4.28
2003,7629479,813687,73510,9141,,,,,
2004,7833881,898327,74908,8869,,,,,
2005,7887734,939489,75840,8660,,,,,
2006,7974402,947052,79669,8706,,,,,
2007,8016285,977779,83482,9309,10966.12,2499.75,1857.30,588.32,4.59
2008,7886060,938717,86441,9943,,,,,
2009,6825785,887941,86741,9518,,,,,
2010,6831397,908788,84695,10332,,,,,
2011,6808265,926359,87433,10570,,,,,
2012,6879748,934226,88786,10948,9760.50,2749.46,1629.88,593.02,5.96
2013,6930887,949018,90875,10959,9917.63,2574.13,1670.57,615.18,5.94
2014,7035580,978114,91752,10742,10212.12,2676.41,1715.49,648.77,6.18
2015,7199137,1033047,,10519,10319.70,2707.59,1630.53,654.63,6.36
2016,,,,10494,10470.91,2702.46,1541.63,,
2017,,,,,10451.06,2766.78,1577.00,,
