Year,Units,Value
2000,Current Dollars,8687
2001,Current Dollars,8854.8
2002,Current Dollars,9025
2003,Current Dollars,9368.1
2004,Current Dollars,9895.6
2005,Current Dollars,10415.4
2006,Current Dollars,10841.7
2007,Current Dollars,11160.2
2008,Current Dollars,11043.4
2009,Current Dollars,10350.2
2010,Current Dollars,10708.1
2011,Current Dollars,11265.3
2012,Current Dollars,11558.3
2013,Current Dollars,11801.4
2014,Current Dollars,12160.8
2015,Current Dollars,12278.6
2016,Current Dollars,12424.2
2017,Current Dollars,12886.9
2018,Current Dollars,13425.4
2019,Current Dollars,13703.5
2020,Current Dollars,14204.6
2021,Current Dollars,16567.8
2022,Current Dollars,17978.3
2023,Current Dollars,18470.6
