Year,Value,Units
2000,5.5,Rate
2001,5.6,Rate
2002,5.6,Rate
2003,5.7,Rate
2004,5.5,Rate
2005,5.6,Rate
2006,5.8,Rate
2007,5.7,Rate
2008,5.4,Rate
2009,5.0,Rate
2010,4.8,Rate
2011,4.7,Rate
2012,4.7,Rate
2013,4.5,Rate
2014,4.4,Rate
2015,4.9,Rate
2016,5.4,Rate
2017,5.3,Rate
2018,5.0,Rate
2019,5.1,Rate
2020,6.5,Rate
2021,6.8,Rate
2022,6.3,Rate
2000,15586.0,Total
2001,19033.0,Total
2002,16229.0,Total
2003,16528.0,Total
2004,16148.0,Total
2005,16740.0,Total
2006,17309.0,Total
2007,17128.0,Total
2008,16465.0,Total
2009,15399.0,Total
2010,14722.0,Total
2011,14661.0,Total
2012,14856.0,Total
2013,14319.0,Total
2014,14164.0,Total
2015,15883.0,Total
2016,17413.0,Total
2017,17294.0,Total
2018,16374.0,Total
2019,16669.0,Total
2020,21570.0,Total
2021,22941.0,Total
2022,21594.0,Total
